Linux 6.14.0-29-generic (ganesh) 	09/26/2025 	_x86_64_	(3 CPU)

Device             tps    kB_read/s    kB_wrtn/s    kB_dscd/s    kB_read    kB_wrtn    kB_dscd
loop0             0.00         0.00         0.00         0.00         17          0          0
loop1             0.00         0.04         0.00         0.00       1082          0          0
loop10            0.03         1.01         0.00         0.00      27210          0          0
loop11            0.00         0.01         0.00         0.00        332          0          0
loop12            0.00         0.00         0.00         0.00         14          0          0
loop2             0.00         0.04         0.00         0.00       1085          0          0
loop3             0.02         0.20         0.00         0.00       5237          0          0
loop4             0.14         2.50         0.00         0.00      67167          0          0
loop5             0.00         0.08         0.00         0.00       2091          0          0
loop6             0.06         3.07         0.00         0.00      82261          0          0
loop7             0.11         0.46         0.00         0.00      12374          0          0
loop8             0.00         0.01         0.00         0.00        378          0          0
loop9             0.00         0.01         0.00         0.00        349          0          0
sda               5.52        57.16        72.60         0.00    1533473    1947448          0

