top - 22:44:57 up  7:27,  1 user,  load average: 0.53, 0.32, 0.19
Tasks: 231 total,   1 running, 225 sleeping,   5 stopped,   0 zombie
%Cpu(s): 10.7 us,  7.1 sy,  0.0 ni, 75.0 id,  0.0 wa,  0.0 hi,  7.1 si,  0.0 st 
MiB Mem :   6739.2 total,   1911.7 free,   2184.7 used,   2403.9 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   4554.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  11846 ganesh    20   0   23172   5420   3372 R   9.1   0.1   0:00.01 top
      1 root      20   0   23164  13888   9408 S   0.0   0.2   0:04.60 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.07 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root      20   0       0      0      0 I   0.0   0.0   0:02.94 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.65 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:09.79 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.13 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.82 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:01.55 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.36 ksoftir+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     31 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     32 root      rt   0       0      0      0 S   0.0   0.0   0:01.18 migrati+
     33 root      20   0       0      0      0 S   0.0   0.0   0:14.01 ksoftir+
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kdevtmp+
     40 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     41 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.11 khungta+
     43 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     47 root      20   0       0      0      0 S   0.0   0.0   0:04.29 kcompac+
     48 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     49 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     55 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     56 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     62 root      20   0       0      0      0 I   0.0   0.0   0:01.21 kworker+
     66 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
     67 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     69 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     70 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
     71 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     72 root      20   0       0      0      0 S   0.0   0.0   0:00.03 scsi_eh+
     73 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     77 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     79 root      20   0       0      0      0 I   0.0   0.0   0:00.21 kworker+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
